"","id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_act_il","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_act_il","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount","debt_settlement_flag","debt_settlement_flag_date","settlement_status","settlement_date","settlement_amount","settlement_percentage","settlement_term"
"17929","",NA,35000,35000,35000," 60 months","  9.76%",739.53,"B","B3","Broker","1 year","OWN",2e+05,"Source Verified","Dec-2015","Current","n",NA,"","debt_consolidation","Debt consolidation","370xx","TN",10.98,0,"Feb-2004",0,NA,NA,20,0,39025,"43.7%",30,"w",12984.41,12984.41,30493.65,30493.65,22015.59,8293.16,184.9,0,0,"May-2019",739.53,"Jun-2019","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,147462,2,5,1,3,1,108437,96,1,3,22374,55,89200,0,0,4,6,7761,43575,47.2,0,0,142,126,6,1,0,6,NA,1,NA,0,3,3,11,14,11,15,18,3,20,0,0,0,2,100,27.3,0,0,208416,147462,82600,119216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"305005","",NA,29850,29850,29850," 60 months"," 25.57%",886.14,"F","F5","Underwriter","10+ years","MORTGAGE",68000,"Source Verified","May-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","554xx","MN",27.35,1,"May-1987",1,15,NA,17,0,42736,"72.8%",32,"f",0,0,33217.29,33217.29,29850,3367.29,0,0,0,"Oct-2015",29715.13,"","Jul-2017",0,NA,1,"Individual",NA,NA,"",0,0,173081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58700,NA,NA,NA,7,14423,299,98.6,0,0,156,335,14,14,2,14,NA,5,15,0,3,7,3,11,4,15,26,7,17,0,0,0,0,96.9,100,0,0,197749,62882,21000,25050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"232270","",NA,2375,2375,2375," 36 months"," 10.99%",77.75,"B","B4","coder","4 years","OWN",32000,"Not Verified","Jul-2015","Charged Off","n",NA,"","home_improvement","Home improvement","490xx","MI",27.19,0,"Jun-1987",1,NA,NA,8,0,7809,"28%",19,"f",0,0,1521.87,1521.87,1090.41,298.33,0,133.13,23.9634000009,"Dec-2016",77.75,"","Jun-2017",0,NA,1,"Individual",NA,NA,"",0,0,20157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27900,NA,NA,NA,2,2520,16377,28.8,0,0,172,336,0,0,0,0,NA,0,NA,0,3,4,3,7,8,5,11,4,8,0,0,0,2,100,33.3,0,0,50000,20157,23000,22100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"151702","",NA,10000,10000,10000," 36 months","  5.32%",301.15,"A","A1","Business Operations Manager","< 1 year","MORTGAGE",75000,"Source Verified","Sep-2015","Fully Paid","n",NA,"","home_improvement","Home improvement","431xx","OH",29.92,0,"Mar-1999",0,50,NA,13,0,24602,"76.6%",23,"w",0,0,10833.8174144809,10833.82,10000,833.82,0,0,0,"Aug-2018",301.06,"","May-2019",0,50,1,"Individual",NA,NA,"",0,0,139333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32100,NA,NA,NA,2,10718,3838,86.2,0,0,146,197,41,12,5,41,NA,12,NA,2,5,7,5,5,6,9,10,7,13,0,0,0,1,91.3,80,0,0,167725,42852,27900,35000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"323950","",NA,8000,8000,8000," 36 months"," 12.69%",268.36,"C","C2","social services","10+ years","RENT",55000,"Source Verified","Apr-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","980xx","WA",18.39,0,"Aug-2007",1,NA,NA,5,0,6235,"83.1%",5,"w",0,0,9403.991648069,9403.99,8000,1403.99,0,0,0,"Feb-2017",3774.07,"","Mar-2017",0,NA,1,"Individual",NA,NA,"",0,0,32896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,NA,2,6579,1265,83.1,0,0,20,92,54,4,0,54,NA,4,NA,0,3,3,3,3,2,3,3,3,5,0,0,0,1,100,66.7,0,0,41619,32896,7500,34119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"142538","",NA,3975,3975,3975," 36 months"," 12.69%",133.35,"C","C2","material handler ","10+ years","MORTGAGE",32000,"Verified","Sep-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","613xx","IL",34.55,1,"Nov-1995",0,16,64,9,1,2276,"81%",21,"w",0,0,4794.595202194,4794.6,3975,819.6,0,0,0,"Sep-2018",132.95,"","Nov-2018",0,60,1,"Individual",NA,NA,"",0,0,78181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,NA,NA,NA,3,11168,1000,94,0,0,111,238,19,2,4,54,NA,14,NA,0,1,4,2,3,6,4,11,3,7,NA,0,0,1,76,100,1,0,115665,25183,1000,37570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"130397","",NA,16000,16000,16000," 36 months"," 12.29%",533.65,"C","C1","Versatile technologist","1 year","RENT",59500,"Source Verified","Sep-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","630xx","MO",35.63,0,"Mar-2006",1,NA,NA,7,0,15522,"67.5%",11,"f",0,0,18212.7306050508,18212.73,16000,2212.73,0,0,0,"Feb-2017",10218.9,"","Feb-2017",0,NA,1,"Individual",NA,NA,"",0,0,51740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23000,NA,NA,NA,1,7391,4481,75.1,0,0,49,114,26,19,0,26,NA,2,NA,0,2,3,2,6,4,3,7,3,7,0,0,0,0,100,50,0,0,84580,51740,18000,61580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"230945","",NA,13800,13800,13800," 36 months"," 14.65%",476.02,"C","C5","Shipping Personal","4 years","OWN",35800,"Not Verified","Jul-2015","Charged Off","n",NA,"","debt_consolidation","Debt consolidation","316xx","GA",23.63,0,"Feb-2012",0,NA,NA,27,0,16867,"27.6%",31,"w",0,0,8219.77,8219.77,5397.98,2255.09,23.8,542.9,97.722,"Mar-2017",25,"","Oct-2018",0,NA,1,"Individual",NA,NA,"",0,0,18433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61100,NA,NA,NA,19,709,26680,35.1,0,0,30,40,9,9,0,9,NA,7,NA,0,14,18,17,18,2,25,28,18,27,0,0,0,4,100,0,0,0,63366,18433,41100,2139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"371698","",NA,6400,6400,6400," 36 months"," 13.33%",216.66,"C","C3","Accountting Assitant 2","10+ years","MORTGAGE",52000,"Source Verified","Feb-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","265xx","WV",17.7,0,"Apr-2000",0,53,94,30,1,7416,"18%",52,"w",0,0,6574.28,6574.28,6400,174.28,0,0,0,"Apr-2015",6362.36,"","Feb-2019",0,NA,1,"Individual",NA,NA,"",0,0,147001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41100,NA,NA,NA,16,4900,4825,48.7,0,0,178,174,3,3,2,15,NA,4,NA,0,12,17,12,14,16,27,34,17,30,0,0,0,7,100,33.3,0,1,185011,33469,9400,25211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"392357","",NA,17950,17950,17950," 36 months","  6.99%",554.17,"A","A3","Project Manager","4 years","MORTGAGE",58000,"Source Verified","Jan-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","179xx","PA",21.97,0,"Apr-1991",0,NA,NA,12,0,19527,"33.7%",28,"w",0,0,19942.82350872,19942.82,17950,1992.82,0,0,0,"Jan-2018",553.84,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,74323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58000,NA,NA,NA,4,6194,22888,45.9,0,0,285,165,5,5,1,5,NA,9,NA,0,3,5,6,12,9,9,18,5,12,0,0,0,1,100,33.3,0,0,190902,45087,42300,38000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
