"","Product_ID","User_ID","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","TC_Code","Product_Category_1","Product_Category_2","Product_Category_3","Purchase"
"326949","P00190242",1002288,"M","0-17",10,"B","2",0,2,4,5,NA,814
"81150","P00027342",1000524,"M","18-25",0,"A","0",0,16,8,NA,NA,7828
"531820","P00246242",1003885,"M","26-35",12,"B","4+",1,26,15,NA,NA,13124
"490646","P00100442",1003607,"M","36-45",17,"C","0",0,24,2,4,5,12918
"318213","P00336742",1001077,"M","26-35",3,"A","1",0,2,12,NA,NA,1065
"381519","P00205942",1004666,"M","36-45",1,"A","1",1,14,5,8,14,6912
"435443","P00048342",1001069,"M","26-35",20,"A","4+",0,14,5,8,14,6965
"290929","P0099242",1002873,"F","18-25",4,"B","1",0,16,8,14,NA,8142
"536777","P00170942",1004609,"F","26-35",4,"B","0",0,6,5,8,14,3629
"354547","P00277842",1000646,"M","36-45",7,"C","2",0,30,1,NA,NA,15214
"306503","P00351142",1005233,"M","26-35",5,"B","0",1,22,1,8,17,11899
"276421","P00057542",1000634,"F","0-17",10,"C","4+",0,26,3,4,5,13229
"365362","P00074342",1002172,"M","18-25",20,"B","2",0,6,5,NA,NA,3539
"76254","P00110942",1005758,"F","51-55",1,"C","2",0,24,1,2,NA,11997
"120151","P00161542",1000550,"M","46-50",8,"B","1",1,24,2,15,16,12759
"531357","P00028842",1003825,"M","18-25",1,"B","0",0,40,6,8,NA,20459
"122788","P00110742",1000993,"M","26-35",0,"C","1",0,30,1,2,8,15300
"423158","P00273642",1005111,"M","36-45",2,"B","1",1,8,8,14,NA,4153
"19992","P00265242",1003154,"F","26-35",4,"A","0",0,16,5,8,NA,8621
"418880","P00003242",1004430,"F","26-35",0,"B","1",0,12,8,15,NA,6111
"245728","P00286742",1001839,"M","18-25",4,"C","1",0,22,1,16,NA,11619
"340287","P00058042",1004354,"M","36-45",14,"B","2",0,12,8,16,NA,6135
"237483","P00116342",1000656,"F","46-50",16,"C","3",1,32,2,NA,NA,16472
"312007","P00191142",1000053,"M","26-35",0,"B","1",0,6,4,15,NA,2843
"339516","P00286642",1004250,"F","51-55",0,"C","4+",1,12,11,14,NA,6092
"171196","P00087842",1002442,"M","36-45",17,"C","2",0,2,12,NA,NA,1058
"263889","P00009342",1004601,"M","36-45",14,"C","0",0,22,1,16,NA,11874
"309250","P00355142",1005654,"M","26-35",4,"A","3",1,30,1,15,NA,15790
"404317","P00120042",1002140,"M","46-50",14,"C","2",1,30,1,2,NA,15522
"122896","P00001142",1001011,"M","26-35",8,"C","4+",1,16,5,8,14,8696
"420048","P00125942",1004592,"M","18-25",4,"A","3",0,8,1,2,15,4470
"255758","P00237442",1003477,"F","51-55",1,"A","1",1,16,8,14,NA,7882
"238151","P00341442",1000755,"F","36-45",0,"B","3",1,16,8,NA,NA,7991
"361712","P00219342",1001680,"M","26-35",20,"A","3",1,10,5,14,NA,5179
"114387","P00220442",1005653,"M","51-55",1,"B","1",0,18,5,14,NA,8902
"144972","P00119942",1004345,"F","26-35",14,"B","1",0,12,8,14,NA,6065
"203139","P00109542",1001340,"M","26-35",7,"A","2",0,8,8,14,17,3913
